src_ip,dst_ip,src_port,dst_port,protocol,tos,packets,bytes,flows,start_time,end_time
192.168.1.164,192.168.1.100,25879,20940,UDP,64,344,40248,3,1719836021,1719836027.0494
192.168.1.31,192.168.1.125,54281,123,UDP,64,89,67195,2,1719839803,1719839807.3705
192.168.1.207,10.0.0.69,3658,443,TCP,16,812,203000,2,1719836831,1719836839.5406
192.168.1.40,10.0.0.205,38776,43329,ICMP,32,751,75851,3,1719841364,1719841365.248
192.168.1.139,198.51.100.19,31629,80,UDP,64,468,41652,2,1719840386,1719840386.8936
192.168.1.92,198.51.100.27,26964,53,TCP,32,513,37449,2,1719839914,1719839923.5402
192.168.1.158,10.0.0.131,56431,123,TCP,64,645,373455,3,1719838517,1719838524.3238
192.168.1.157,198.51.100.48,56141,53,UDP,0,816,433296,1,1719837833,1719837839.8977
192.168.1.35,10.0.0.144,12026,123,TCP,32,528,421872,1,1719836900,1719836905.5259
192.168.1.126,192.168.1.155,29655,123,UDP,16,525,61950,3,1719839261,1719839265.9337
192.168.1.232,192.168.1.226,54306,123,TCP,0,396,168300,1,1719835339,1719835344.9242
192.168.1.86,198.51.100.33,63671,443,TCP,32,267,245640,2,1719841792,1719841800.3554
192.168.1.153,192.168.1.29,22032,123,TCP,64,30,6360,3,1719838550,1719838559.3715
192.168.1.2,192.168.1.71,10983,80,TCP,32,294,245196,1,1719841954,1719841955.9502
192.168.1.43,192.168.1.212,47826,80,UDP,16,802,694532,2,1719838960,1719838962.5904
192.168.1.213,192.168.1.235,55563,53,ICMP,16,932,217156,2,1719835769,1719835769.197
192.168.1.110,198.51.100.21,3945,35981,TCP,64,293,107531,1,1719836014,1719836017.435
192.168.1.10,192.168.1.253,3928,443,TCP,64,947,450772,1,1719840159,1719840167.2111
192.168.1.28,10.0.0.11,8430,80,TCP,32,182,97734,1,1719839074,1719839076.9756
192.168.1.111,10.0.0.114,60679,123,TCP,32,696,89784,1,1719837636,1719837640.9789
192.168.1.173,10.0.0.243,3842,53,TCP,64,463,272244,3,1719841656,1719841659.3664
192.168.1.63,198.51.100.43,7316,53,TCP,0,958,530732,2,1719837998,1719838003.0391
192.168.1.217,10.0.0.124,20376,443,UDP,0,254,202692,1,1719836508,1719836517.6466
192.168.1.240,192.168.1.161,38434,80,UDP,64,740,448440,2,1719840732,1719840739.6983
192.168.1.204,10.0.0.108,34947,443,TCP,32,660,353100,3,1719839577,1719839585.1196
192.168.1.137,10.0.0.249,21126,123,TCP,64,898,302626,1,1719839426,1719839426.4601
192.168.1.88,10.0.0.169,52557,443,TCP,64,908,531180,2,1719841993,1719841997.3444
192.168.1.9,192.168.1.96,44357,123,TCP,16,116,41412,1,1719835216,1719835221.7426
192.168.1.56,192.168.1.4,38165,123,TCP,0,114,53922,2,1719838332,1719838332.2665
192.168.1.105,10.0.0.84,39187,443,TCP,16,687,325638,2,1719840267,1719840272.0895
192.168.1.129,10.0.0.147,53060,443,ICMP,16,753,593364,3,1719841617,1719841624.3809
192.168.1.83,192.168.1.210,7683,53,TCP,16,520,266240,2,1719837955,1719837955.6035
192.168.1.109,10.0.0.80,53536,53,TCP,0,588,57036,1,1719840024,1719840024.7703
192.168.1.37,192.168.1.91,7863,123,TCP,0,351,113724,2,1719841353,1719841354.4144
192.168.1.129,10.0.0.232,29465,443,TCP,32,768,198912,1,1719842139,1719842143.5561
192.168.1.173,10.0.0.81,19170,80,TCP,32,649,51271,2,1719835500,1719835506.576
192.168.1.211,10.0.0.242,22815,80,TCP,32,252,125244,2,1719835980,1719835982.5914
192.168.1.236,10.0.0.225,56817,53,TCP,0,176,105776,3,1719840268,1719840269.5917
192.168.1.64,10.0.0.105,34932,27305,TCP,0,188,18236,3,1719841841,1719841841.5088
192.168.1.178,10.0.0.15,28750,34114,UDP,16,914,679102,3,1719838523,1719838530.1277
192.168.1.198,10.0.0.136,4105,123,TCP,32,878,490802,1,1719838616,1719838624.7837
192.168.1.226,10.0.0.132,17279,61871,UDP,64,176,118800,1,1719840536,1719840545.6712
192.168.1.247,10.0.0.94,13466,80,TCP,32,649,62953,2,1719836446,1719836452.0883
192.168.1.105,10.0.0.89,31382,53,UDP,64,859,477604,3,1719837896,1719837897.5899
192.168.1.20,192.168.1.74,26959,443,TCP,0,537,324885,3,1719840603,1719840610.6243
192.168.1.88,198.51.100.36,58856,123,TCP,16,597,364170,2,1719841128,1719841131.6822
192.168.1.121,192.168.1.40,27215,53,TCP,0,470,379290,3,1719835963,1719835972.2735
192.168.1.150,10.0.0.226,4685,443,TCP,32,545,458890,1,1719838413,1719838419.432
192.168.1.53,10.0.0.190,43811,123,TCP,32,480,302400,2,1719838589,1719838595.0991
192.168.1.59,10.0.0.226,18720,80,TCP,16,109,25397,2,1719836640,1719836642.7714
192.168.1.17,10.0.0.174,60913,123,TCP,64,842,384794,2,1719841440,1719841449.8588
192.168.1.78,198.51.100.17,34390,443,UDP,64,633,527922,1,1719841418,1719841419.2024
192.168.1.86,192.168.1.63,19415,80,TCP,32,593,166040,1,1719835529,1719835533.1974
192.168.1.103,10.0.0.138,31259,80,TCP,32,126,106596,3,1719839815,1719839822.4913
192.168.1.180,192.168.1.52,51043,80,TCP,32,581,362544,3,1719835896,1719835896.7869
192.168.1.189,192.168.1.169,11900,443,UDP,16,302,198414,1,1719837392,1719837396.9436
192.168.1.65,192.168.1.21,2275,123,TCP,0,113,7571,1,1719838657,1719838662.313
192.168.1.217,192.168.1.64,46773,80,UDP,16,617,512727,2,1719841059,1719841066.9223
192.168.1.77,192.168.1.181,17174,443,UDP,32,658,58562,1,1719836261,1719836261.9626
192.168.1.216,192.168.1.242,49741,80,TCP,32,195,16380,2,1719837939,1719837947.1927
192.168.1.140,10.0.0.159,28250,80,UDP,64,141,112236,2,1719841760,1719841765.784
192.168.1.93,198.51.100.11,25023,443,TCP,32,532,321328,1,1719835324,1719835325.1606
192.168.1.212,192.168.1.149,49048,53,TCP,0,109,14388,2,1719840480,1719840482.43
192.168.1.150,10.0.0.34,37066,53,TCP,64,917,81613,3,1719840049,1719840053.7643
192.168.1.101,192.168.1.253,11793,6696,TCP,16,819,809172,1,1719839932,1719839941.7897
192.168.1.225,192.168.1.169,61606,8408,TCP,0,428,263648,2,1719839536,1719839543.7249
192.168.1.26,10.0.0.229,52725,50100,TCP,16,822,117546,1,1719838009,1719838017.9549
192.168.1.145,192.168.1.207,40644,13382,TCP,32,695,544880,2,1719841478,1719841486.8593
192.168.1.207,10.0.0.59,38679,80,ICMP,32,531,378072,2,1719835903,1719835909.0374
192.168.1.124,10.0.0.199,34716,27345,UDP,32,207,154422,3,1719838589,1719838594.9754
192.168.1.183,192.168.1.46,27541,123,TCP,32,342,158004,1,1719837258,1719837265.2054
192.168.1.232,10.0.0.27,34611,443,TCP,64,608,504640,1,1719838442,1719838450.6469
192.168.1.97,10.0.0.227,52104,14245,TCP,32,537,38127,3,1719840307,1719840312.3091
192.168.1.145,10.0.0.210,60107,14766,UDP,16,8,7520,2,1719836098,1719836103.5193
192.168.1.92,10.0.0.160,22582,23780,TCP,0,305,101565,3,1719840983,1719840986.5241
192.168.1.147,198.51.100.32,32441,53,ICMP,16,368,40480,3,1719842060,1719842069.218
192.168.1.197,10.0.0.23,31958,53,UDP,32,870,261000,1,1719841200,1719841202.2198
192.168.1.26,192.168.1.125,28797,80,TCP,16,888,56832,3,1719841599,1719841605.4955
192.168.1.59,192.168.1.251,32629,443,TCP,0,961,845680,1,1719841248,1719841257.0399
192.168.1.215,198.51.100.24,62582,53,TCP,0,359,178782,1,1719839210,1719839210.3836
192.168.1.149,10.0.0.91,9707,443,TCP,32,966,563178,1,1719842158,1719842158.4941
192.168.1.144,10.0.0.62,62819,53,TCP,0,67,56548,2,1719837356,1719837356.7608
192.168.1.178,10.0.0.176,44350,123,TCP,16,718,230478,3,1719841406,1719841410.9689
192.168.1.93,192.168.1.4,17939,53,TCP,32,684,595080,1,1719841599,1719841600.2347
192.168.1.176,10.0.0.109,6335,443,TCP,32,887,643075,2,1719838482,1719838484.5319
192.168.1.204,10.0.0.31,36947,80,TCP,64,588,162288,1,1719835486,1719835493.5914
192.168.1.172,10.0.0.232,62124,53,TCP,0,462,330792,2,1719837905,1719837906.1343
192.168.1.112,10.0.0.115,56851,123,TCP,16,543,376842,2,1719840362,1719840365.7513
192.168.1.204,10.0.0.128,15833,443,ICMP,32,679,507892,3,1719839502,1719839507.1649
192.168.1.153,10.0.0.148,20169,123,TCP,32,348,70296,3,1719838159,1719838159.6911
192.168.1.228,192.168.1.35,41126,123,TCP,64,270,51570,3,1719838332,1719838336.2034
192.168.1.234,10.0.0.132,36841,53,TCP,64,180,167400,2,1719836596,1719836601.1981
192.168.1.58,192.168.1.177,12625,53,TCP,32,4,3560,1,1719836115,1719836116.3513
192.168.1.144,10.0.0.72,5757,443,TCP,32,659,386833,3,1719841874,1719841882.186
192.168.1.221,192.168.1.130,55158,9752,TCP,32,853,716520,2,1719836417,1719836419.8786
192.168.1.137,192.168.1.240,3303,18424,TCP,16,935,644215,3,1719838852,1719838859.0635
192.168.1.62,10.0.0.126,52312,443,TCP,0,521,246954,3,1719837607,1719837613.7957
192.168.1.11,10.0.0.70,46512,123,TCP,0,18,8028,1,1719839324,1719839330.0809
192.168.1.220,10.0.0.249,11029,53,TCP,0,275,92675,3,1719841655,1719841661.4832
192.168.1.177,10.0.0.34,60087,53,UDP,16,660,396000,3,1719839049,1719839052.6888
192.168.1.208,192.168.1.80,3070,60934,TCP,16,27,12501,2,1719837232,1719837233.9402
192.168.1.160,10.0.0.8,46446,16050,UDP,64,361,198189,2,1719837117,1719837126.3783
192.168.1.5,10.0.0.119,4460,123,TCP,16,495,236115,2,1719842288,1719842294.4476
192.168.1.25,10.0.0.205,57816,47968,TCP,0,564,348552,1,1719840708,1719840710.3089
192.168.1.222,10.0.0.56,50931,443,ICMP,64,544,534208,1,1719840439,1719840441.9126
192.168.1.191,10.0.0.200,45921,80,TCP,16,644,218960,2,1719841658,1719841660.158
192.168.1.193,192.168.1.217,37379,123,TCP,16,362,222992,3,1719837042,1719837043.2956
192.168.1.79,198.51.100.3,29921,80,UDP,0,832,396032,3,1719839186,1719839191.976
192.168.1.63,10.0.0.69,19301,29055,TCP,64,504,201600,3,1719842028,1719842037.5254
192.168.1.174,198.51.100.39,8855,443,TCP,64,495,348480,2,1719839707,1719839708.0263
192.168.1.93,192.168.1.184,47817,53,TCP,0,191,133700,3,1719837242,1719837251.0369
192.168.1.197,10.0.0.183,37995,123,UDP,16,987,803418,1,1719835327,1719835334.493
192.168.1.9,10.0.0.246,17289,123,TCP,64,262,185496,2,1719841863,1719841870.0242
192.168.1.55,192.168.1.62,65408,80,TCP,64,499,315867,1,1719838712,1719838715.8706
192.168.1.187,10.0.0.120,47150,16136,TCP,32,552,73968,1,1719839898,1719839904.5106
192.168.1.206,10.0.0.235,19598,53,TCP,16,973,132328,2,1719838339,1719838342.657
192.168.1.82,192.168.1.138,63836,53,UDP,16,639,70290,2,1719837095,1719837095.8433
192.168.1.118,192.168.1.66,1721,53,TCP,16,643,642357,2,1719839691,1719839698.2047
192.168.1.23,10.0.0.7,10414,443,TCP,32,591,147159,2,1719835576,1719835583.641
192.168.1.94,10.0.0.17,43290,53,UDP,32,907,388196,3,1719835631,1719835637.6207
192.168.1.26,10.0.0.188,62337,123,TCP,32,490,106820,3,1719838330,1719838331.6327
192.168.1.185,10.0.0.193,56488,443,TCP,0,189,176337,2,1719842388,1719842389.0615
192.168.1.232,10.0.0.177,34273,26353,TCP,0,310,124310,3,1719842182,1719842186.12
192.168.1.32,10.0.0.109,7111,21900,TCP,64,443,194034,2,1719842065,1719842070.7762
192.168.1.3,192.168.1.233,2699,80,TCP,0,519,394440,2,1719841635,1719841639.8685
192.168.1.188,10.0.0.94,60181,53,UDP,64,414,247158,2,1719836590,1719836598.2333
192.168.1.27,10.0.0.97,23166,53,ICMP,16,850,497250,1,1719840274,1719840278.5481
192.168.1.115,192.168.1.139,45892,53,TCP,32,483,365631,3,1719838867,1719838871.5027
192.168.1.149,10.0.0.31,11013,80,UDP,0,141,34827,2,1719838935,1719838938.9156
192.168.1.155,192.168.1.59,2151,80,TCP,64,837,367443,3,1719837226,1719837233.3187
192.168.1.210,10.0.0.113,46276,443,TCP,0,915,300120,3,1719840520,1719840523.3036
192.168.1.248,192.168.1.56,13333,443,UDP,16,421,51362,3,1719840245,1719840250.7192
192.168.1.102,10.0.0.233,48121,53,TCP,32,341,330770,1,1719837344,1719837349.9099
192.168.1.40,10.0.0.136,24200,80,TCP,0,979,349503,3,1719837753,1719837761.4663
192.168.1.106,10.0.0.101,63554,123,ICMP,32,715,540540,1,1719842013,1719842021.801
192.168.1.136,10.0.0.228,21882,123,TCP,32,402,230748,2,1719839627,1719839629.9319
192.168.1.123,10.0.0.206,30847,42844,TCP,0,107,24075,1,1719835278,1719835281.4058
192.168.1.61,10.0.0.61,8656,443,TCP,0,328,71504,3,1719840693,1719840699.3959
192.168.1.103,10.0.0.98,51204,123,TCP,32,784,74480,3,1719837800,1719837804.0507
192.168.1.177,192.168.1.101,65123,3002,UDP,64,451,450549,3,1719837893,1719837893.5027
192.168.1.252,10.0.0.110,29207,123,TCP,32,50,36900,2,1719839067,1719839072.1847
192.168.1.20,10.0.0.225,8826,80,TCP,64,518,395752,2,1719840179,1719840184.2983
192.168.1.114,10.0.0.189,50245,80,UDP,32,694,294256,3,1719839448,1719839456.3486
10.0.0.68,192.168.1.10,7236,80,TCP,16,73036,4016980,1,1719841600,1719841600.3284
192.168.1.229,10.0.0.196,3173,53,TCP,0,882,493920,3,1719835254,1719835262.2281
192.168.1.249,10.0.0.19,42572,123,UDP,0,275,146850,3,1719838421,1719838422.6127
192.168.1.186,198.51.100.38,5764,123,TCP,32,13,5941,2,1719842055,1719842061.8855
192.168.1.182,10.0.0.93,12660,443,TCP,64,693,375606,3,1719840692,1719840699.411
192.168.1.199,10.0.0.14,6821,38297,TCP,32,704,87296,2,1719835408,1719835416.8291
192.168.1.62,10.0.0.17,8392,123,TCP,0,197,49841,3,1719838445,1719838451.175
192.168.1.212,10.0.0.213,29949,123,TCP,64,351,261846,2,1719836809,1719836814.0651
192.168.1.120,192.168.1.6,52758,123,TCP,16,471,314157,3,1719835974,1719835980.5318
192.168.1.134,192.168.1.252,26497,53,TCP,64,370,109520,1,1719836906,1719836912.2428
192.168.1.240,10.0.0.76,41127,30118,TCP,64,611,430144,2,1719841120,1719841123.7379
192.168.1.48,10.0.0.127,54545,64422,TCP,0,451,397331,3,1719837263,1719837269.3797
192.168.1.73,192.168.1.74,41403,443,TCP,32,719,652133,2,1719836730,1719836737.8891
192.168.1.119,10.0.0.173,27677,443,UDP,16,495,202950,2,1719836855,1719836856.4434
192.168.1.25,10.0.0.225,10562,443,UDP,0,610,476410,3,1719840569,1719840575.3966
192.168.1.239,10.0.0.236,30468,80,TCP,64,567,455868,2,1719838124,1719838128.5014
192.168.1.68,192.168.1.198,27676,18802,TCP,32,981,474804,3,1719840248,1719840257.6641
192.168.1.106,10.0.0.38,3291,123,TCP,0,385,35805,3,1719839330,1719839334.8218
192.168.1.78,10.0.0.91,33928,53,TCP,0,717,605148,3,1719839232,1719839234.7335
192.168.1.146,10.0.0.201,40337,123,TCP,16,547,59623,3,1719836297,1719836303.0282
192.168.1.27,192.168.1.60,38046,123,UDP,0,54,45252,3,1719838925,1719838928.1695
192.168.1.139,10.0.0.150,1638,80,TCP,64,560,283360,2,1719837241,1719837241.5832
192.168.1.141,10.0.0.107,10216,443,TCP,0,32,7328,1,1719839637,1719839637.5989
192.168.1.129,10.0.0.116,63817,123,TCP,0,806,144274,2,1719836941,1719836948.3624
192.168.1.220,10.0.0.198,26101,16607,TCP,16,403,103168,3,1719841647,1719841649.0209
192.168.1.161,10.0.0.155,21150,80,UDP,32,267,157263,1,1719840752,1719840757.8962
192.168.1.206,192.168.1.98,59325,123,TCP,32,150,43800,1,1719837862,1719837864.1561
192.168.1.80,10.0.0.210,33988,123,UDP,64,727,359138,2,1719837651,1719837660.6366
192.168.1.52,198.51.100.45,55986,443,TCP,16,528,118800,3,1719840908,1719840913.7754
192.168.1.242,198.51.100.12,39352,123,TCP,16,345,298425,1,1719836923,1719836923.5442
192.168.1.20,10.0.0.34,50806,443,TCP,16,659,484365,2,1719835529,1719835529.4443
192.168.1.14,10.0.0.227,25764,443,TCP,16,115,62445,3,1719837488,1719837496.0612
192.168.1.85,10.0.0.242,21869,123,TCP,32,620,154380,3,1719836008,1719836015.2535
192.168.1.159,192.168.1.133,23105,8626,TCP,32,179,67662,3,1719837031,1719837039.352
192.168.1.199,10.0.0.80,50883,123,TCP,64,431,61633,3,1719840242,1719840247.8698
192.168.1.46,10.0.0.129,50151,53,TCP,64,808,202000,3,1719838984,1719838993.3403
192.168.1.165,10.0.0.49,33050,123,TCP,32,984,558912,2,1719841164,1719841173.3307
192.168.1.70,10.0.0.99,22713,80,TCP,0,418,294690,2,1719838492,1719838494.1629
192.168.1.32,10.0.0.97,19922,123,UDP,0,152,100016,1,1719842368,1719842373.4125
192.168.1.159,10.0.0.174,13015,443,TCP,64,575,571550,3,1719838367,1719838372.7047
192.168.1.228,192.168.1.88,7749,53,TCP,0,254,33782,1,1719838691,1719838691.515
192.168.1.33,10.0.0.83,59630,80,TCP,16,423,256338,2,1719841651,1719841659.3709
192.168.1.237,10.0.0.166,46738,443,TCP,16,495,221760,1,1719835565,1719835571.7392
192.168.1.187,10.0.0.204,40145,123,TCP,64,257,165765,1,1719836389,1719836398.9276
192.168.1.167,192.168.1.91,64588,3606,TCP,0,563,122171,1,1719841151,1719841152.3789
192.168.1.136,10.0.0.114,44118,53,TCP,16,520,300560,2,1719835271,1719835276.8639
192.168.1.38,10.0.0.215,59710,80,TCP,32,445,420970,3,1719835388,1719835392.5856
192.168.1.133,10.0.0.62,40249,123,TCP,0,543,180819,2,1719839856,1719839859.4849
192.168.1.96,192.168.1.151,5657,61924,UDP,32,329,276360,2,1719841094,1719841094.3984
192.168.1.217,10.0.0.28,23332,123,TCP,0,3,2295,2,1719838376,1719838379.868
192.168.1.197,10.0.0.126,52022,123,TCP,32,402,398382,2,1719836924,1719836932.8341
192.168.1.248,10.0.0.65,29136,53,TCP,16,411,126177,2,1719837430,1719837430.3633
192.168.1.116,10.0.0.172,18715,80,TCP,64,64,13312,3,1719840559,1719840561.5311
192.168.1.167,192.168.1.153,18821,60338,TCP,16,449,398263,2,1719840015,1719840016.4775
192.168.1.161,10.0.0.169,9233,443,TCP,32,882,285768,2,1719837814,1719837823.6194
192.168.1.175,10.0.0.101,19945,28575,UDP,64,730,710290,3,1719840918,1719840926.0326
192.168.1.7,10.0.0.51,17668,443,TCP,16,322,204148,2,1719836918,1719836926.6473
192.168.1.168,10.0.0.10,11607,123,TCP,64,493,165648,2,1719841623,1719841624.3433
192.168.1.87,10.0.0.41,44939,53,UDP,64,905,365620,2,1719841665,1719841671.6373
192.168.1.83,10.0.0.55,31171,29134,TCP,32,293,107824,2,1719839942,1719839951.6169
192.168.1.245,10.0.0.79,27735,80,TCP,16,33,15774,2,1719835817,1719835819.9977
192.168.1.173,8.8.8.1,4580,80,UDP,16,441,335601,1,1719841770,1719841777.78
192.168.1.178,192.168.1.93,29904,443,UDP,0,942,492666,1,1719839893,1719839899.41
192.168.1.70,10.0.0.32,35204,443,TCP,64,756,216972,3,1719835626,1719835629.7059
192.168.1.127,10.0.0.240,25708,53,TCP,0,6,3822,3,1719836768,1719836772.4001
192.168.1.159,10.0.0.44,5595,443,UDP,0,399,138852,3,1719837193,1719837196.9695
192.168.1.83,192.168.1.106,44503,53,TCP,64,6,4764,3,1719841038,1719841040.2727
192.168.1.20,198.51.100.37,49991,16006,UDP,32,388,87688,3,1719840863,1719840872.695
192.168.1.183,10.0.0.44,18608,443,TCP,16,596,257472,1,1719835590,1719835595.6405
192.168.1.171,10.0.0.107,51559,443,TCP,16,768,414720,3,1719835512,1719835515.8617
192.168.1.23,10.0.0.216,31591,80,TCP,64,689,450606,3,1719842188,1719842192.9669
192.168.1.103,198.51.100.3,23001,28518,TCP,64,623,259168,3,1719836395,1719836397.6032
192.168.1.81,10.0.0.21,21243,53,TCP,16,294,230496,1,1719841607,1719841613.6003
192.168.1.13,10.0.0.73,12701,53,TCP,32,965,779720,1,1719838238,1719838245.4807
192.168.1.99,10.0.0.238,9143,123,UDP,64,25,11325,1,1719838674,1719838679.8179
192.168.1.8,10.0.0.156,24687,80,UDP,16,512,497664,2,1719837526,1719837527.9399
192.168.1.133,10.0.0.83,13562,53,TCP,0,659,512702,1,1719840995,1719841004.5914
192.168.1.249,198.51.100.32,50377,443,TCP,64,405,53055,2,1719835720,1719835726.4334
192.168.1.181,10.0.0.71,47296,443,TCP,16,913,195382,3,1719840073,1719840075.2063
192.168.1.138,192.168.1.181,34735,53,TCP,64,656,304384,3,1719838788,1719838792.8786
192.168.1.134,10.0.0.209,62022,123,TCP,0,491,369232,1,1719842095,1719842098.269
192.168.1.78,10.0.0.104,45756,34299,TCP,64,917,618058,2,1719839255,1719839257.9107
192.168.1.205,192.168.1.84,8928,53,TCP,16,239,208886,1,1719839678,1719839681.3736
192.168.1.239,10.0.0.168,50999,123,ICMP,0,477,404496,2,1719836540,1719836548.8144
192.168.1.50,10.0.0.188,44231,53,UDP,16,416,161408,3,1719836286,1719836293.9083
192.168.1.215,10.0.0.12,39946,123,TCP,64,867,467313,2,1719842109,1719842110.5898
192.168.1.250,10.0.0.247,7144,53,TCP,64,54,49734,3,1719838611,1719838611.8294
192.168.1.147,192.168.1.71,5878,80,TCP,64,972,77760,2,1719841585,1719841594.3557
192.168.1.21,10.0.0.123,5975,53,UDP,32,708,373116,2,1719835963,1719835965.7979
192.168.1.139,192.168.1.233,46148,53,TCP,64,544,464032,2,1719839469,1719839477.7271
192.168.1.18,10.0.0.74,37691,443,TCP,16,940,650480,3,1719836925,1719836931.9931
192.168.1.119,10.0.0.77,22668,443,TCP,16,353,86485,2,1719841975,1719841980.7302
192.168.1.224,192.168.1.170,15872,443,TCP,16,783,565326,1,1719840616,1719840617.5081
192.168.1.41,10.0.0.239,25576,443,TCP,16,607,522627,1,1719836088,1719836091.2767
192.168.1.154,10.0.0.106,36178,123,TCP,64,526,289300,3,1719836295,1719836297.1157
